npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
1000,12.566370614359172,20,0.9289,-0.27912017220587787,0.04466985569906555,0.02455452327517206,1.4567466413478025,0.05394142705643153
2000,12.566370614359172,20,1.7697,-0.267285113053751,0.020513063188564298,0.018481114411856455,1.188467395731242,0.10634166156979133
3000,12.566370614359172,20,2.5762,-0.19670265416548446,0.022212195042845818,0.023559985895432657,1.2307689337147751,0.23222745723114105
4000,12.566370614359172,20,3.9943,-0.27354399675886726,0.010199351881627053,0.015304246926636698,1.228746017175891,0.10107525366167645
5000,12.566370614359172,20,4.8768,-0.27817125737526077,0.013105253642984118,0.013166513488651187,1.4658306601080842,0.07856922755110173
7500,12.566370614359172,20,7.3951,-0.22603026860426298,0.020185163465890485,0.010276001347398001,1.4303055216508027,0.14589729879002453
10000,12.566370614359172,20,10.0293,-0.16910298546612432,0.01466738492836925,,1.4175913673929685,0.13170742915115535
20000,12.566370614359172,20,19.966,-0.20594089785053216,0.010593449364229778,0.01022621274924141,1.4118233789085421,0.1305661704801593
30000,12.566370614359172,20,30.2151,-0.17276875517392307,0.01234685665795343,0.0132222974161715,1.3909377255973572,0.12685595766817595
50000,12.566370614359172,20,50.0892,-0.21123978138463265,0.012070666398951104,0.00830245009511782,1.3649393286011282,0.1631313808117967
75000,12.566370614359172,20,86.6439,-0.1752920462167822,0.009905089158701589,0.006720739264916444,1.4117505540752007,0.11273074157163132
100000,12.566370614359172,20,102.8644,-0.20315120964407718,0.006421696551785325,0.004662271648088779,1.4152115671938101,0.11422095882381074
