npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
1000,12.566370614359172,20,0.1958,-0.22202049204132454,0.020893643052353795,0.026911553891880543,1.1165146749658534,0.4904263173443908
2000,12.566370614359172,20,0.3469,-0.16144743616392496,0.011468572449617544,0.025021930432629912,1.322050299939823,0.0713573495797059
3000,12.566370614359172,20,0.4087,-0.21018273121969697,0.010617972920940374,0.013191757088616413,1.40106450687392,0.140831042333881
4000,12.566370614359172,20,0.531,-0.3109619821039727,0.04964399790566316,0.011699009758766513,1.3577129612959757,0.03132671352607512
5000,12.566370614359172,20,0.7001,-0.16238841157551326,0.027834784666089255,0.016655589650484925,1.3984350386035183,0.05496509110943838
7500,12.566370614359172,20,1.0591,-0.17757017066860586,0.013678975704005062,0.01005655761742825,1.4237860396341477,0.10689502382895014
10000,12.566370614359172,20,1.3469,-0.1745173812495828,0.01179469390236738,0.013029035086610144,1.393423561582485,0.05757724504236514
20000,12.566370614359172,20,3.268,-0.2418219260099115,0.011044576614211276,0.007755643299244706,1.4072604859748579,0.13260881643617828
30000,12.566370614359172,20,5.4345,-0.18905512377106898,0.008259116120572407,,1.3871819775040206,0.1212204762560497
50000,12.566370614359172,20,10.1763,-0.2034804591883403,0.008499083203330812,0.0052577035557765,1.4043295136305334,0.11559552376563866
75000,12.566370614359172,20,15.9231,-0.20215757507968088,0.008744469998139739,,1.4108282433655,0.1173761563615436
100000,12.566370614359172,20,23.2707,-0.19776405326110555,0.012585552131188473,,1.4199186673761182,0.12136132299551419
125000,12.566370614359172,20,31.5693,-0.19573861193506847,0.009815440506418452,0.007102281987301001,1.4135950674369964,0.053671171067605494
150000,12.566370614359172,20,39.5962,-0.17502831832766402,0.011016008834679916,,1.4188766433291733,0.10782956301667507
175000,12.566370614359172,20,45.7027,-0.2158278231517511,0.006332448451043508,0.005376772646033733,1.4254810675438998,0.11982887879609366
200000,12.566370614359172,20,47.6742,-0.23095842062496713,0.008050912591181522,0.0049878877734804,1.4274325858687351,0.09635294755237643
